a,b
1/01/2018,47409
2/01/2018,47409
3/01/2018,47409
4/01/2018,47409
5/01/2018,47410
6/01/2018,47417
7/01/2018,47417
8/01/2018,47417
9/01/2018,47417
10/01/2018,47417
11/01/2018,47417
12/01/2018,47417
13/01/2018,47424
14/01/2018,47424
15/01/2018,47425
16/01/2018,47425
17/01/2018,47425
18/01/2018,47425
19/01/2018,47425
20/01/2018,47432
21/01/2018,47432
22/01/2018,47432
23/01/2018,47432
24/01/2018,47432
25/01/2018,47433
26/01/2018,47433
27/01/2018,47440
28/01/2018,47440
29/01/2018,47440
30/01/2018,47440
31/01/2018,47440
